,bps,ticks
count,24658.0,24658.0
mean,0.07610696257408675,0.304427850296347
std,0.09540601629100487,0.3816240651640195
min,0.0,0.0
25%,0.0,0.0
50%,0.12626262626262627,0.5050505050505051
75%,0.12626262626262627,0.5050505050505051
90%,0.12626262626262627,0.5050505050505051
95%,0.25252525252525254,1.0101010101010102
99%,0.3787878787878788,1.5151515151515151
max,4.166666666666667,16.666666666666668
